Restaurante;(Varios elementos);;;;;;;
;;;;;;;;
Etiquetas de fila;Cuenta de Codigo reserva;Cuenta de Hora en la que se sentó;Promedio de PAX;Cumplimiento;Desercion;;;
3/06/2023;408;292;3,637254902;72%;28%;;;
4/06/2023;89;69;3,157303371;78%;22%;;;
5/06/2023;50;39;3,36;78%;22%;;;
6/06/2023;99;83;3,202020202;84%;16%;;;
7/06/2023;167;137;3,233532934;82%;18%;;;
8/06/2023;181;144;3,850828729;80%;20%;;;
9/06/2023;363;264;3,256198347;73%;27%;;;
10/06/2023;381;274;3,372703412;72%;28%;;;
11/06/2023;226;169;3,225663717;75%;25%;;;
12/06/2023;58;42;3,051724138;72%;28%;;;
13/06/2023;93;78;3,344086022;84%;16%;;;
14/06/2023;128;97;3,2421875;76%;24%;;;
15/06/2023;201;159;3,835820896;79%;21%;;;
16/06/2023;351;248;3,427350427;71%;29%;;;
17/06/2023;388;275;3,5;71%;29%;;;
18/06/2023;321;225;3,788161994;70%;30%;;;
19/06/2023;84;65;3,202380952;77%;23%;;;
20/06/2023;122;94;3,360655738;77%;23%;;;
21/06/2023;106;81;3,188679245;76%;24%;;;
22/06/2023;75;;4,053333333;0%;100%;;;
Total general;21513;15243;3,59991633;71%;29%;;;
;;;;;Modelo;Comision YN;;
;;;;;0,7;0,07;;
;150;30%;;45;32;3;;450
;;21%;;135;95;;;48.150.000,00
;;9%;;14.445.000;10.111.500;;;1.444.500.000,00
;;;;433.350.000;303.345.000;21.234.150;282.110.850;288.900.000,00
;;;;;15.167.250;1.011.150;1.061.708;
;;;;;;;;
;;;;;0,7;;0,07;
;30;30%;;9;6,3;27,3;3;
;;21%;;27;18,9;81,9;;
;;9%;;2.889.000,00;2.022.300,00;8.763.300,00;20%;
;;;;86.670.000,00;60.669.000,00;262.899.000,00;18.402.930;42.266.070
;;;;;;;920.147;
